"Temp","mean","lcl","ucl"
18,0.015932975731602,0.0100931125404212,0.0217728389227828
18.1,0.0159329767960147,0.010093113654728,0.0217728399373013
18.2,0.0159329779930414,0.0100931149081868,0.0217728410778961
18.3,0.0159329793391147,0.0100931163180843,0.0217728423601451
18.4,0.0159329808526904,0.0100931179038419,0.0217728438015389
18.5,0.0159329825544959,0.0100931196872781,0.0217728454217136
18.6,0.0159329844678071,0.0100931216929022,0.021772847242712
18.7,0.0159329866187601,0.0100931239482435,0.0217728492892767
18.8,0.0159329890366999,0.0100931264842217,0.0217728515891781
18.9,0.0159329917545713,0.0100931293355606,0.021772854173582
19,0.0159329948093577,0.0100931325412535,0.0217728570774618
19.1,0.0159329982425719,0.0100931361450841,0.0217728603400598
19.2,0.0159330021008073,0.0100931401962104,0.0217728640054041
19.3,0.0159330064363541,0.0100931447498202,0.021772868122888
19.4,0.015933011307891,0.0100931498678641,0.0217728727479179
19.5,0.0159330167812593,0.0100931556198789,0.0217728779426397
19.6,0.01593302293033,0.0100931620839084,0.0217728837767516
19.7,0.015933029837975,0.0100931693475359,0.0217728903284141
19.8,0.0159330375971551,0.0100931775090414,0.0217728976852688
19.9,0.0159330463121373,0.0100931866786962,0.0217729059455783
20,0.0159330560998584,0.0100931969802142,0.0217729152195026
20.1,0.0159330670914511,0.010093208552376,0.0217729256305262
20.2,0.0159330794339519,0.0100932215508477,0.021772937317056
20.3,0.0159330932922125,0.010093236150217,0.0217729504342079
20.4,0.0159331088510388,0.0100932525462715,0.0217729651558062
20.5,0.0159331263175836,0.0100932709585485,0.0217729816766187
20.6,0.015933145924023,0.0100932916331886,0.0217730002148574
20.7,0.0159331679305502,0.0100933148461265,0.0217730210149739
20.8,0.0159331926287233,0.0100933409066611,0.0217730443507855
20.9,0.0159332203452086,0.0100933701614474,0.0217730705289699
21,0.0159332514459651,0.010093402998959,0.0217730998929713
21.1,0.0159332863409223,0.0100934398544772,0.0217731328273674
21.2,0.0159333254892079,0.0100934812156664,0.0217731697627494
21.3,0.0159333694049893,0.0100935276288028,0.0217732111811757
21.4,0.0159334186640002,0.0100935797057334,0.021773257622267
21.5,0.0159334739108311,0.0100936381316463,0.0217733096900159
21.6,0.0159335358670716,0.0100937036737467,0.0217733680603966
21.7,0.0159336053404034,0.0100937771909404,0.0217734334898665
21.8,0.0159336832347515,0.0100938596446382,0.0217735068248648
21.9,0.0159337705616165,0.0100939521108083,0.0217735890124248
22,0.0159338684527226,0.0100940557934149,0.0217736811120303
22.1,0.0159339781741301,0.0100941720393976,0.0217737843088625
22.2,0.0159341011419812,0.0100943023553611,0.0217738999286013
22.3,0.0159342389400634,0.0100944484261637,0.0217740294539631
22.4,0.0159343933393963,0.010094612135609,0.0217741745431836
22.5,0.0159345663200709,0.0100947955894686,0.0217743370506733
22.6,0.0159347600955967,0.0100950011410849,0.0217745190501085
22.7,0.0159349771400357,0.0100952314198238,0.0217747228602476
22.8,0.0159352202182395,0.0100954893626766,0.0217749510738024
22.9,0.0159354924195349,0.010095778249333,0.0217752065897369
23,0.015935797195243,0.0100961017410758,0.0217754926494103
23.1,0.0159361384004595,0.0100964639238777,0.0217758128770412
23.2,0.0159365203405686,0.0100968693561072,0.02177617132503
23.3,0.0159369478230153,0.0100973231212808,0.0217765725247498
23.4,0.0159374262149155,0.0100978308863276,0.0217770215435035
23.5,0.0159379615071473,0.0100983989658558,0.0217775240484387
23.6,0.0159385603856337,0.0100990343929371,0.0217780863783303
23.7,0.0159392303106047,0.010099744996939,0.0217787156242704
23.8,0.015939979604706,0.0101005394889491,0.0217794197204628
23.9,0.0159408175509176,0.0101014275553318,0.0217802075465034
24,0.0159417545013434,0.0101024199599469,0.02178108904274
24.1,0.0159428019980436,0.0101035286555233,0.0217820753405639
24.2,0.0159439729072049,0.0101047669046241,0.0217831789097857
24.3,0.0159452815680765,0.0101061494105471,0.0217844137256058
24.4,0.0159467439582449,0.0101076924583702,0.0217857954581196
24.5,0.0159483778769843,0.0101094140661615,0.0217873416878071
24.6,0.0159502031485922,0.0101113341461154,0.021789072151069
24.7,0.015952241847816,0.0101134746750281,0.0217910090206039
24.8,0.0159545185496847,0.0101158598730635,0.0217931772263059
24.9,0.0159570606062921,0.0101185163891625,0.0217956048234217
25,0.0159598984533297,0.010121473490668,0.0217983234159914
25.1,0.0159630659494424,0.0101247632537415,0.0218013686451434
25.2,0.01596660075178,0.0101284207498744,0.0218047807536856
25.3,0.015970544731444,0.0101324842221844,0.0218086052407036
25.4,0.0159749444328854,0.010136995243154,0.0218128936226169
25.5,0.0159798515816948,0.0101419988429195,0.0218177043204701
25.6,0.0159853236456446,0.0101475435940295,0.0218231036972597
25.7,0.0159914244543011,0.0101536816346263,0.0218291672739759
25.8,0.0159982248830119,0.0101604686070898,0.021835981158934
25.9,0.0160058036076112,0.0101679634831122,0.0218436437321102
26,0.0160142479367569,0.0101762282387154,0.0218522676347983
26.1,0.0160236547294361,0.0101853273335902,0.021861982125282
26.2,0.0160341314058411,0.0101953269380217,0.0218729358736606
26.3,0.0160457970605356,0.0102062938372025,0.0218853002838688
26.4,0.0160587836875998,0.010218293926545,0.0218992734486546
26.5,0.016073237528266,0.01023139019229,0.0219150848642419
26.6,0.016089320552435,0.0102456400488915,0.0219330010559786
26.7,0.0161072120864003,0.010261091878053,0.0219533322947477
26.8,0.0161271106001002,0.0102777805837685,0.0219764406164319
26.9,0.0161492356682752,0.0102957219434835,0.0220027493930669
27,0.0161738301210192,0.0103149054982673,0.0220327547437711
