"Temp","mean","lcl","ucl"
18,16.5570169466598,15.9590057626666,17.1550281306529
18.1,16.3823996228419,15.8004695302425,16.9643297154412
18.2,16.2115144817138,15.6451632689583,16.7778656944693
18.3,16.044252232669,15.4929939131705,16.5955105521675
18.4,15.8805075866149,15.3438716768809,16.4171434963489
18.5,15.7201790816525,15.1977099136468,16.2426482496583
18.6,15.5631689175134,15.0544249834588,16.071912851568
18.7,15.4093827982552,14.9139361262114,15.904829470299
18.8,15.2587297827539,14.7761653414209,15.7412942240868
18.9,15.1111221425551,14.6410372738633,15.5812070112468
19,14.966475226674,14.5084791048276,15.4244713485205
19.1,14.8247073329646,14.3784204487022,15.270994217227
19.2,14.6857395856923,14.2507932546258,15.1206859167587
19.3,14.5494958189775,14.1255317129556,14.9734599249994
19.4,14.4159024657885,14.0025721663193,14.8292327652577
19.5,14.2848884521861,13.8818530250335,14.6879238793387
19.6,14.1563850965403,13.7633146866833,14.5494555063973
19.7,14.0303260134544,13.6468994596739,14.4137525672348
19.8,13.9066470221456,13.5325514905702,14.2807425537209
19.9,13.785286059054,13.4202166950603,14.1503554230476
20,13.6661830944535,13.3098426923787,14.0225234965283
20.1,13.5492800528607,13.2013787430403,13.8971813626811
20.2,13.4345207370456,13.0947756897406,13.7742657843506
20.3,13.3218507554593,12.9899859012845,13.6537156096341
20.4,13.211217452906,12.8869632194127,13.5354716863993
20.5,13.1025698442931,12.7856629083954,13.4194767801908
20.6,12.9958585513076,12.6860416072717,13.3056754953435
20.7,12.89103574187,12.5880572846098,13.1940141991301
20.8,12.7880550722297,12.4916691956684,13.0844409487911
20.9,12.6868716315702,12.3968378418364,12.976905421304
21,12.5874418890017,12.3035249322321,12.8713588457712
21.1,12.4897236428243,12.2116933473353,12.7677539383134
21.2,12.3936759719518,12.1213071045289,12.6660448393748
21.3,12.299259189392,12.0323313254224,12.5661870533616
21.4,12.2064347976844,11.9447322048248,12.468137390544
21.5,12.1151654462031,11.8584769812332,12.371853911173
21.6,12.0254148902348,11.7735339087005,12.277295871769
21.7,11.9371479517501,11.6898722299414,12.1844236735588
21.8,11.8503304817874,11.6074621505356,12.0931988130393
21.9,11.7649293243753,11.526274814085,12.0035838346656
22,11.6809122819202,11.4462822781819,11.9155422856585
22.1,11.5982480819953,11.3674574910489,11.8290386729417
22.2,11.5169063454624,11.2897742687113,11.7440384222136
22.3,11.4368575558694,11.2132072725721,11.6605078391667
22.4,11.3580730300629,11.1377319872648,11.5784140728609
22.5,11.2805248899636,11.0633246986704,11.4977250812568
22.6,11.2041860354504,10.9899624719954,11.4184095989054
22.7,11.129030118305,10.917623129824,11.3404371067861
22.8,11.055031517169,10.8462852300711,11.263777804267
22.9,10.9821653134698,10.7759280437808,11.1884025831589
23,10.9104072682722,10.7065315327333,11.114283003811
23.1,10.8397338000154,10.6380763268429,11.0413912731879
23.2,10.7701219630975,10.5705437013454,10.9697002248496
23.3,10.7015494272696,10.5039155537962,10.899183300743
23.4,10.6339944578059,10.4381743809137,10.8298145346982
23.5,10.567435896417,10.3733032553209,10.761568537513
23.6,10.5018531428725,10.3092858022502,10.6944204834949
23.7,10.4372261373068,10.2461061762897,10.628346098324
23.8,10.3735353431743,10.1837490382557,10.563321648093
23.9,10.3107617308321,10.1221995322845,10.4993239293797
24,10.2488867617195,10.0614432632379,10.4363302602011
24.1,10.1878923731137,10.0014662745172,10.3743184717103
24.2,10.1277609634339,9.94225502637894,10.3132669004888
24.3,10.068475378074,9.88379637484039,10.2531543813077
24.4,10.0100188957423,9.82607755125416,10.1939602402304
24.5,9.95237521528579,9.76908614262564,10.1356642879459
24.6,9.89552844298126,9.71281007273356,10.078246813229
24.7,9.83946308027341,9.65723758410544,10.0216885764414
24.8,9.78416401194278,9.60235722088677,9.9659708029988
24.9,9.7296164946855,9.54815781263136,9.91107517673964
25,9.67580614608997,9.49462845902962,9.85698383315033
25.1,9.62271893399259,9.44175851557871,9.80367935240647
25.2,9.57034116620013,9.38953758019099,9.75114475220927
25.3,9.51865948056325,9.3379554807257,9.69936348040079
25.4,9.46766083538654,9.28700226342115,9.64831940735194
25.5,9.41733250016435,9.23666818219894,9.59799681812977
25.6,9.36766204662774,9.18694368880414,9.54838040445135
25.7,9.31863734009217,9.13781942374205,9.49945525644228
25.8,9.27024653109287,9.08928620796759,9.45120685421814
25.9,9.22247804729866,9.04133503528214,9.40362105931518
26,9.17532058569323,8.99395706539041,9.35668410599605
26.1,9.12876310501207,8.94714361756849,9.31038259245564
26.2,9.08279481842892,8.90088616489714,9.2647034719607
26.3,9.03740518647824,8.8551763290111,9.21963404394539
26.4,8.9925839102095,8.81000587532137,9.17516194509763
26.5,8.9483209245608,8.76536670866456,9.13127514045704
26.6,8.90460639194531,8.72125086933823,9.08796191455238
26.7,8.86143069604431,8.67765052948402,9.0452108626046
26.8,8.81878443579598,8.6345579897797,9.00301088181225
26.9,8.77665841957565,8.59196567640762,8.96135116274368
27,8.73504365955993,8.54986613826748,8.92022118085238
27.1,8.69393136626647,8.50825204440367,8.87961068812926
27.2,8.65331294326601,8.46711618162249,8.83950970490953
27.3,8.61317998205763,8.42645145227342,8.79990851184185
27.4,8.57352425710362,8.3862508721747,8.76079764203254
27.5,8.53433772101684,8.34650756866262,8.72216787337106
27.6,8.49561249989648,8.30721477874838,8.68401022104459
27.7,8.45734088880599,8.26836584736664,8.64631593024534
27.8,8.41951534738839,8.2299542257026,8.60907646907418
27.9,8.38212849561508,8.19197346958623,8.57228352164394
28,8.34517310966227,8.15441723794286,8.53592898138167
