Pool_ID,Date,MinWTemp_C,MaxWTemp_C,MeanWTemp_C,cvWTemp_C,sdWTemp_C,MaxATemp_C,MeanATemp_C,MaxRTemp_C
122,6/8/2021,27.961,28.754,28.24918182,0.010279616,0.290390734,32.8,27.8,29
130,5/20/2021,22.717,29.652,25.92336364,0.101609093,2.634049459,32.8,22.8,23.9
134,6/24/2021,22.142,32.291,26.66909091,0.133334312,3.55590489,26.1,19.4,26.1
137,5/20/2021,21.92,24.45,22.51909091,0.032384295,0.729264885,32.8,22.8,23.9
139,5/20/2021,22.525,27.961,24.87027273,0.075065765,1.866906051,32.8,22.8,23.9
139,6/24/2021,22.908,30.255,26.32178788,0.096995843,2.553104015,26.1,19.4,26.1
140,7/21/2021,27.764,31.778,29.67681818,0.049099039,1.457103258,33.9,27.8,29.9
141,6/24/2021,23.869,27.567,25.51809091,0.050372571,1.285411835,26.1,19.4,26.1
144,5/20/2021,22.525,23.004,22.76309091,0.007140298,0.162535258,32.8,22.8,23.9
144,6/8/2021,27.862,28.754,28.33915152,0.010020171,0.283963149,32.8,27.8,29
144,6/24/2021,24.835,26.879,25.67669697,0.028247787,0.725309868,26.1,19.4,26.1
145,6/8/2021,28.258,30.154,29.00030303,0.024407716,0.707831172,32.8,27.8,29
146,6/8/2021,25.708,27.173,26.28433333,0.020693517,0.543915301,32.8,27.8,29
151,5/20/2021,22.154,26.646,23.42060606,0.058755151,1.376081255,32.8,22.8,23.9
152,6/24/2021,24.351,28.754,26.12839394,0.059761959,1.561484008,26.1,19.4,26.1
152,7/21/2021,28.06,30.862,28.95936364,0.030776783,0.891276045,33.9,27.8,29.9
163,6/8/2021,29.053,34.058,30.6599697,0.059684349,1.829920345,32.8,27.8,29
164,6/8/2021,28.4,36.51,31.00212121,0.094935219,2.943193161,32.8,27.8,29
165,6/24/2021,24.835,30.558,27.27448485,0.074863868,2.041873437,26.1,19.4,26.1
169,6/8/2021,27.468,32.291,29.09057576,0.061375208,1.785440142,32.8,27.8,29
173,6/24/2021,23.004,30.963,26.80942424,0.108865586,2.91862367,26.1,19.4,26.1
175,6/8/2021,28.048,30.52,28.86954545,0.028757337,0.830211234,32.8,27.8,29
181,5/20/2021,21.282,29.752,24.48827273,0.121082249,2.965095143,32.8,22.8,23.9
189,5/20/2021,20.46,26.04,22.71181818,0.098182908,2.22991235,32.8,22.8,23.9
189,6/8/2021,26.683,29.452,27.50806061,0.038389491,1.056020447,32.8,27.8,29
192,6/24/2021,23.966,31.064,26.99915152,0.093211271,2.516625234,26.1,19.4,26.1
197,7/21/2021,27.272,33.43,29.56578788,0.071239282,2.106245486,33.9,27.8,29.9
199,6/8/2021,27.862,32.807,29.48075758,0.059361813,1.750031232,32.8,27.8,29
208,6/24/2021,22.621,32.807,26.64284848,0.131907651,3.514395548,26.1,19.4,26.1
209,5/20/2021,20.996,26.39,23.52771875,0.078917651,1.856752302,32.8,22.8,23.9
214,5/20/2021,22.99,25.05,23.84121212,0.030275764,0.721810907,32.8,22.8,23.9
218,6/24/2021,23.196,27.173,24.86569697,0.053987813,1.34244461,26.1,19.4,26.1
223,5/20/2021,22.13,23.38,22.79666667,0.017221154,0.392584917,32.8,22.8,23.9
224,5/20/2021,21.473,31.88,25.80990909,0.145449602,3.754040992,32.8,22.8,23.9
225,6/24/2021,24.545,28.159,25.99609091,0.050125328,1.303062579,26.1,19.4,26.1
227,6/8/2021,25.61,27.075,26.08615152,0.02001263,0.522052507,32.8,27.8,29
