Date,Time,PoolID,WaterTemp,Lux
7/21/2021,11:45:00,353,29.152,914.9
7/21/2021,12:00:00,353,29.252,850.4
7/21/2021,12:15:00,353,29.352,721.2
7/21/2021,12:30:00,353,29.452,645.8
7/21/2021,12:45:00,353,29.552,549
7/21/2021,13:00:00,353,29.652,462.9
7/21/2021,13:15:00,353,29.853,269.1
7/21/2021,13:30:00,353,30.054,226
7/21/2021,13:45:00,353,30.154,398.3
7/21/2021,14:00:00,353,30.255,107.6
7/21/2021,14:15:00,353,30.356,204.5
7/21/2021,14:30:00,353,30.457,452.1
7/21/2021,6:30:00,338,27.37,21.5
7/21/2021,6:45:00,338,27.37,43.1
7/21/2021,7:00:00,338,27.37,107.6
7/21/2021,7:15:00,338,27.37,172.2
7/21/2021,7:30:00,338,27.468,236.8
7/21/2021,7:45:00,338,27.567,301.4
7/21/2021,8:00:00,338,27.665,344.4
7/21/2021,8:15:00,338,27.862,441.3
7/21/2021,8:30:00,338,28.06,484.4
7/21/2021,8:45:00,338,28.258,570.5
7/21/2021,9:00:00,338,28.456,635.1
7/21/2021,9:15:00,338,28.754,721.2
7/21/2021,9:30:00,338,28.953,764.2
7/21/2021,9:45:00,338,29.152,861.1
7/21/2021,10:00:00,338,29.452,882.6
7/21/2021,10:15:00,338,29.752,979.5
7/21/2021,10:30:00,338,30.255,527.4
7/21/2021,10:45:00,338,30.154,581.3
7/21/2021,11:00:00,338,30.255,688.9
7/21/2021,11:15:00,338,30.457,807.3
7/21/2021,11:30:00,338,30.558,947.2
7/21/2021,11:45:00,338,30.659,818.1
7/21/2021,12:00:00,338,30.862,710.4
7/21/2021,12:15:00,338,30.963,731.9
7/21/2021,12:30:00,338,31.064,775
7/21/2021,12:45:00,338,31.268,753.5
7/21/2021,13:00:00,338,31.37,1119.5
7/21/2021,13:15:00,338,31.472,1248.6
7/21/2021,13:30:00,338,31.574,1033.3
7/21/2021,13:45:00,338,31.676,667.4
7/21/2021,14:00:00,338,31.778,139.9
7/21/2021,14:15:00,338,31.88,258.3
7/21/2021,14:30:00,338,31.88,419.8
7/21/2021,6:30:00,728,27.665,107.6
7/21/2021,6:45:00,728,27.665,172.2
7/21/2021,7:00:00,728,27.764,236.8
7/21/2021,7:15:00,728,27.665,290.6
7/21/2021,7:30:00,728,27.665,344.4
7/21/2021,7:45:00,728,27.665,398.3
7/21/2021,8:00:00,728,27.665,430.6
7/21/2021,8:15:00,728,27.665,462.9
