"term","estimate","std.error","statistic","p.value"
"b",-2.32383379533566,0.114568948118968,-20.2832777422605,1.80680713509196e-91
"h0",-15.2919751587632,0.717212699206065,-21.3213948605357,7.18837299543992e-101
"Eh",-1.65123023980268,0.0973549843726363,-16.9609214201343,1.59818476617234e-64
