"term","estimate","std.error","statistic","p.value"
"x1",37.7755859256466,3.42186082128398,11.0394863784881,1.19633520887758e-14
"y1",0.0159329672300377,0.00290289106928173,5.48865487879986,1.58481055538294e-06
"r",1.28995532280225,2.49532951679348,0.516947887692147,0.607616791038223
