ObjectID,GlobalID,Pool ID,Date,Time,Observer,How is the pool shaded?,How many dots have open canopy?,Percent Open Canopy,Percent Closed Canopy,CreationDate,Creator,EditDate,Editor,x,y
2,449d554d-8530-4109-a6fb-6dcaa68b217a,703,8/17/2021 4:00:00 PM,08:57,JTA,FULL_SUN,96,99.84,0.159999999999997,8/17/2021 12:59:30 PM,armstrongj2_vcu_ces,8/17/2021 12:59:30 PM,armstrongj2_vcu_ces,-77.45470756,37.52605445
3,200d1088-c218-463a-844d-5f44c685b6dc,700,8/17/2021 4:00:00 PM,09:00,JTA,FULL_SUN,96,99.84,0.159999999999997,8/17/2021 1:00:52 PM,armstrongj2_vcu_ces,8/17/2021 1:00:52 PM,armstrongj2_vcu_ces,-77.45475628,37.52614856
4,40571e88-b362-4411-b0bb-14b28c3c68ed,701,8/17/2021 4:00:00 PM,09:01,JTA,FULL_SUN,96,99.84,0.159999999999997,8/17/2021 1:01:44 PM,armstrongj2_vcu_ces,8/17/2021 1:01:44 PM,armstrongj2_vcu_ces,-77.45469401,37.52617062
5,57bde668-655f-40fb-b2ab-e64f5a8cadf5,363,8/17/2021 4:00:00 PM,09:02,JTA,FULL_SUN,96,99.84,0.159999999999997,8/17/2021 1:02:47 PM,armstrongj2_vcu_ces,8/17/2021 1:02:47 PM,armstrongj2_vcu_ces,-77.45479087,37.52618594
6,d22e2612-bf2e-4721-81f1-15e18958d07e,360,8/17/2021 4:00:00 PM,09:03,JTA,FULL_SUN,96,99.84,0.159999999999997,8/17/2021 1:04:03 PM,armstrongj2_vcu_ces,8/17/2021 1:04:03 PM,armstrongj2_vcu_ces,-77.4546794,37.52626127
7,c9e603e9-b6b9-4fc8-8848-7e128a947660,699,8/17/2021 4:00:00 PM,09:04,JTA,FULL_SUN,84,87.36,12.64,8/17/2021 1:05:48 PM,armstrongj2_vcu_ces,8/17/2021 1:05:48 PM,armstrongj2_vcu_ces,-77.45475129,37.52631169
8,149e1c6f-1dc0-451e-bcc5-3492ca42d8f1,368,8/17/2021 4:00:00 PM,09:06,JTA,FULL_SUN,96,99.84,0.159999999999997,8/17/2021 1:07:22 PM,armstrongj2_vcu_ces,8/17/2021 1:07:22 PM,armstrongj2_vcu_ces,-77.45486171,37.52624107
9,cbfd3447-2a2f-426f-a067-afbe1d728873,367,8/17/2021 4:00:00 PM,09:07,JTA,FULL_SUN,96,99.84,0.159999999999997,8/17/2021 1:07:49 PM,armstrongj2_vcu_ces,8/17/2021 1:07:49 PM,armstrongj2_vcu_ces,-77.4548655,37.52621337
10,0187c7ef-114c-483d-b502-54ed02d213fb,666,8/17/2021 4:00:00 PM,09:08,JTA,FULL_SUN,96,99.84,0.159999999999997,8/17/2021 1:08:22 PM,armstrongj2_vcu_ces,8/17/2021 1:08:22 PM,armstrongj2_vcu_ces,-77.45488658,37.52619904
11,3bad21ec-56de-471f-9f5a-72d1836f0212,365,8/17/2021 4:00:00 PM,09:08,JTA,FULL_SUN,96,99.84,0.159999999999997,8/17/2021 1:08:49 PM,armstrongj2_vcu_ces,8/17/2021 1:08:49 PM,armstrongj2_vcu_ces,-77.455,37.526
12,a9f195bd-ea84-4d3b-9497-6b0efba5510d,364,8/17/2021 4:00:00 PM,09:09,JTA,FULL_SUN,95,98.8,1.2,8/17/2021 1:09:24 PM,armstrongj2_vcu_ces,8/17/2021 1:09:24 PM,armstrongj2_vcu_ces,-77.4548691,37.5261515
13,52f5f11c-c45f-449c-ba65-cd354b6c7d99,365,8/17/2021 4:00:00 PM,09:09,JTA,FULL_SUN,96,99.84,0.159999999999997,8/17/2021 1:10:28 PM,armstrongj2_vcu_ces,8/17/2021 1:10:28 PM,armstrongj2_vcu_ces,-77.455,37.526
14,9bac6971-315d-4dbf-afe9-4064b38e48c9,667,8/17/2021 4:00:00 PM,09:10,JTA,PARTIAL_SHADE,82,85.28,14.72,8/17/2021 1:10:59 PM,armstrongj2_vcu_ces,8/17/2021 1:10:59 PM,armstrongj2_vcu_ces,-77.45486566,37.52611705
15,7fad800c-4eb6-4bdc-a1b7-01b2f4cb023f,663,8/17/2021 4:00:00 PM,09:11,JTA,FULL_SUN,96,99.84,0.159999999999997,8/17/2021 1:12:06 PM,armstrongj2_vcu_ces,8/17/2021 1:12:06 PM,armstrongj2_vcu_ces,-77.45489894,37.52611931
16,f8ea831a-fedd-4f3d-933c-de76bad3b924,664,8/17/2021 4:00:00 PM,09:12,JTA,FULL_SUN,96,99.84,0.159999999999997,8/17/2021 1:12:38 PM,armstrongj2_vcu_ces,8/17/2021 1:12:38 PM,armstrongj2_vcu_ces,-77.45488539,37.52609292
17,eb9e3422-5ba9-478c-9f26-867a5217e5f1,662,8/17/2021 4:00:00 PM,09:13,JTA,PARTIAL_SHADE,66,68.64,31.36,8/17/2021 1:14:15 PM,armstrongj2_vcu_ces,8/17/2021 1:14:15 PM,armstrongj2_vcu_ces,-77.45482835,37.52595669
18,8f16f175-7c6b-448c-bc95-521743fa7602,702,8/17/2021 4:00:00 PM,09:14,JTA,PARTIAL_SHADE,92,95.68,4.31999999999999,8/17/2021 1:15:23 PM,armstrongj2_vcu_ces,8/17/2021 1:15:23 PM,armstrongj2_vcu_ces,-77.45475486,37.52595511
19,ff558bd2-aefb-4447-8d7b-ec11d9fb2f87,665,8/17/2021 4:00:00 PM,09:17,JTA,FULL_SUN,96,99.84,0.159999999999997,8/17/2021 1:17:57 PM,armstrongj2_vcu_ces,8/17/2021 1:17:57 PM,armstrongj2_vcu_ces,-77.45491653,37.5261768
20,0d4253d8-546c-46df-abca-33227062a264,668,8/17/2021 4:00:00 PM,09:18,JTA,FULL_SUN,96,99.84,0.159999999999997,8/17/2021 1:18:24 PM,armstrongj2_vcu_ces,8/17/2021 1:18:24 PM,armstrongj2_vcu_ces,-77.45491867,37.52616247
21,72ada488-5caa-4fc8-a860-da4143a1c437,370,8/17/2021 4:00:00 PM,09:19,JTA,FULL_SUN,92,95.68,4.31999999999999,8/17/2021 1:20:10 PM,armstrongj2_vcu_ces,8/17/2021 1:20:10 PM,armstrongj2_vcu_ces,-77.45489221,37.52623718
22,cb968630-a3c7-4a08-bdf8-4d2a459384d6,369,8/17/2021 4:00:00 PM,09:20,JTA,FULL_SUN,96,99.84,0.159999999999997,8/17/2021 1:20:34 PM,armstrongj2_vcu_ces,8/17/2021 1:20:34 PM,armstrongj2_vcu_ces,-77.4548833,37.52626998
23,b7853a48-f9e1-464d-a1ae-6196e827518c,179,8/17/2021 4:00:00 PM,09:22,JTA,FULL_SUN,96,99.84,0.159999999999997,8/17/2021 1:22:49 PM,armstrongj2_vcu_ces,8/17/2021 1:22:49 PM,armstrongj2_vcu_ces,-77.45495539,37.52619888
24,1ab52d3a-6fd3-4e2d-9529-7522193d527d,178,8/17/2021 4:00:00 PM,09:23,JTA,FULL_SUN,96,99.84,0.159999999999997,8/17/2021 1:24:29 PM,armstrongj2_vcu_ces,8/17/2021 1:24:29 PM,armstrongj2_vcu_ces,-77.45498524,37.52615042
25,77c8cad0-57b0-4f42-a671-5e5ba5b9090d,177,8/17/2021 4:00:00 PM,09:24,JTA,FULL_SUN,96,99.84,0.159999999999997,8/17/2021 1:24:57 PM,armstrongj2_vcu_ces,8/17/2021 1:24:57 PM,armstrongj2_vcu_ces,-77.45499047,37.52613285
26,0f260e85-4ca0-4dcb-bc47-ed265f0950d0,176,8/17/2021 4:00:00 PM,09:25,JTA,FULL_SUN,96,99.84,0.159999999999997,8/17/2021 1:25:31 PM,armstrongj2_vcu_ces,8/17/2021 1:25:31 PM,armstrongj2_vcu_ces,-77.45502481,37.52611069
27,bb75938a-72cb-4254-829b-7f0f0eb20aee,661,8/17/2021 4:00:00 PM,09:27,JTA,FULL_SUN,96,99.84,0.159999999999997,8/17/2021 1:27:55 PM,armstrongj2_vcu_ces,8/17/2021 1:27:55 PM,armstrongj2_vcu_ces,-77.45497262,37.52601136
28,d1267314-7a98-4dd2-80e1-b119cfdd5da1,657,8/17/2021 4:00:00 PM,09:28,JTA,FULL_SUN,96,99.84,0.159999999999997,8/17/2021 1:30:27 PM,armstrongj2_vcu_ces,8/17/2021 1:30:27 PM,armstrongj2_vcu_ces,-77.45500404,37.52597848
29,1520d13f-e0aa-4ea3-8a88-4090d21876a7,170,8/17/2021 4:00:00 PM,09:30,JTA,FULL_SUN,96,99.84,0.159999999999997,8/17/2021 1:30:55 PM,armstrongj2_vcu_ces,8/17/2021 1:30:55 PM,armstrongj2_vcu_ces,-77.45501747,37.52596949
30,ce365127-f789-4783-8581-52179af6ebaf,656,8/17/2021 4:00:00 PM,09:31,JTA,FULL_SUN,78,81.12,18.88,8/17/2021 1:31:25 PM,armstrongj2_vcu_ces,8/17/2021 1:31:25 PM,armstrongj2_vcu_ces,-77.45501854,37.52594229
31,972ec277-0bb2-4916-a8dc-d537a00f6b88,171,8/17/2021 4:00:00 PM,09:31,JTA,FULL_SUN,80,83.2,16.8,8/17/2021 1:31:57 PM,armstrongj2_vcu_ces,8/17/2021 1:31:57 PM,armstrongj2_vcu_ces,-77.45501058,37.52594526
32,90b8e0fb-bec4-4334-a05e-1542e10a9142,658,8/17/2021 4:00:00 PM,09:33,JTA,PARTIAL_SHADE,60,62.4,37.6,8/17/2021 1:34:21 PM,armstrongj2_vcu_ces,8/17/2021 1:34:21 PM,armstrongj2_vcu_ces,-77.45502781,37.52590753
