Pool_ID,Area
344,2.561889648
362,0.623535156
366,0.557983398
367,2.462280273
664,1.521484375
364,7.993652344
368,4.153442383
360,0.057861328
359,0.147583008
363,0.033813477
361,0.159423828
729,0.157836914
350,0.703979492
209,0.192993164
206,0.478515625
207,0.191162109
208,0.333984375
210,1.465698242
211,1.006347656
645,1.261352539
213,1.231567383
212,0.157592773
673,0.033691406
214,0.110839844
215,0.139526367
217,1.138061523
644,0.215698242
246,1.226074219
676,0.868408203
675,0.929199219
643,0.33972168
216,0.918334961
218,1.15625
219,0.30859375
220,0.639404297
248,0.491943359
249,0.798706055
773,0.415039063
680,0.23425293
247,1.328369141
245,4.403686523
243,0.260253906
242,1.343383789
244,0.597290039
237,0.161376953
238,0.25390625
239,0.094482422
236,0.317016602
235,1.934814453
646,0.073486328
230,0.627319336
229,2.461791992
240,1.568969727
221,0.796264648
222,0.809082031
223,0.633300781
225,0.282836914
224,0.149169922
227,1.063232422
241,0.413574219
226,0.263061523
228,0.434692383
233,0.784667969
234,2.051879883
204,0.978637695
203,1.54699707
663,0.169677734
369,0.099609375
178,0.173095703
177,0.818115234
176,0.835205078
175,0.162475586
765,1.144042969
173,0.276489258
170,0.177978516
657,0.150634766
166,0.14453125
661,0.084106445
658,0.139892578
171,0.03503418
656,0.032836914
652,0.145874023
654,0.05871582
653,0.033203125
163,0.108764648
169,1.112792969
168,1.79675293
164,0.057983398
165,0.367431641
766,0.325683594
167,1.319091797
655,0.049804688
179,0.080566406
659,0.165039063
161,0.148193359
160,0.364257813
158,0.816162109
151,0.090332031
152,0.515136719
153,0.21105957
154,0.745239258
603,0.246704102
180,0.109375
181,0.093261719
608,0.029174805
187,1.436035156
192,0.091186523
607,0.369140625
191,0.154174805
190,0.208129883
189,0.465820313
779,0.05871582
198,0.65234375
194,0.905761719
195,1.110351563
197,1.904907227
199,0.186035156
196,0.534057617
767,0.349853516
651,0.348876953
200,0.138671875
193,0.227905273
265,0.167236328
264,0.314575195
616,0.110229492
615,0.083740234
614,0.270019531
619,1.019897461
618,0.120483398
617,0.177978516
756,0.237304688
262,0.318603516
261,0.830932617
263,1.09765625
612,0.147216797
611,0.07043457
610,0.030761719
609,0.159912109
182,0.086181641
183,0.075439453
184,0.208740234
594,0.030883789
260,0.074584961
259,0.01940918
258,0.072631836
256,0.141479492
257,0.054199219
590,0.407836914
621,0.119506836
622,0.172729492
623,0.053222656
253,0.688354492
589,0.091918945
593,0.032592773
266,0.302978516
586,0.104370117
591,0.355712891
587,0.198364258
267,0.062011719
625,0.240478516
286,0.370117188
285,0.447509766
284,0.375
627,0.350341797
287,0.506713867
288,0.363037109
290,0.118286133
629,0.030883789
292,0.141845703
289,0.796264648
315,0.173217773
316,0.947021484
353,3.641479492
354,0.161743164
355,0.106079102
717,0.369018555
352,0.135498047
718,0.309814453
719,0.208984375
351,0.78918457
720,0.95703125
348,0.375488281
347,1.074951172
722,0.140991211
723,0.635498047
721,1.897583008
728,0.163696289
727,0.127685547
346,0.367797852
349,0.264526367
343,0.146240234
342,0.204345703
340,0.085205078
707,0.034057617
710,0.064941406
337,0.094360352
338,0.296386719
709,0.05480957
339,0.993164063
329,0.050048828
330,0.197387695
331,0.731933594
336,0.106933594
335,0.152954102
334,0.243286133
333,0.018920898
332,0.557983398
465,0.318237305
688,0.059814453
694,0.634887695
378,0.331420898
697,0.163330078
374,0.167602539
371,0.218261719
373,0.021606445
679,0.140380859
376,0.208251953
375,0.310058594
377,0.485839844
326,0.117431641
327,0.585327148
684,0.281005859
252,0.081542969
325,0.73059082
324,0.056030273
683,0.237548828
682,0.209960938
323,0.60559082
639,0.705444336
638,0.413696289
642,0.276977539
322,0.143798828
321,0.266967773
320,1.07800293
317,0.256103516
318,0.15234375
282,0.646118164
283,0.600952148
293,1.359375
310,0.113891602
457,0.15246582
308,2.207519531
309,0.279785156
461,0.346557617
307,0.369506836
306,0.857421875
572,0.126586914
305,0.1484375
304,0.425292969
303,0.777709961
456,0.436401367
302,0.824462891
300,0.348876953
299,0.967529297
298,0.526611328
451,1.005859375
452,0.234375
453,0.318847656
454,4.2734375
630,0.321777344
446,0.450927734
448,0.830688477
297,0.24597168
576,0.111206055
296,0.353637695
279,0.204711914
280,0.295654297
281,0.185791016
449,0.449829102
450,0.607543945
628,0.32019043
271,0.256958008
270,0.164672852
581,0.260498047
269,0.067016602
268,0.118530273
583,0.655517578
272,0.133300781
273,0.055908203
274,0.487792969
275,0.538818359
580,0.649902344
277,0.218261719
276,0.092285156
149,0.625366211
564,0.050048828
148,0.072021484
147,0.040161133
598,0.065917969
559,0.512451172
558,0.681396484
533,0.41796875
535,0.236694336
146,0.558959961
567,0.475830078
144,0.305175781
145,0.645507813
776,0.463256836
118,0.066650391
120,0.055908203
777,0.282226563
117,1.020507813
