ObjectID,GlobalID,Pool ID,Date,Time,Observer,Is the pool dried up?,Is the pool underwater?,What type of pool is it?,Length,Width,Depth 1,Depth 2,Depth 3,Depth 4,Lip Height 1,Lip Height 2,Lip Height 3,Lip Height 4,CreationDate,Creator,EditDate,Editor,Date,Time,Average pool depth,Average lip height,x,y
20,26b3fb6b-8e1e-4710-a900-80e2e57b3786,457,,,MT,no,no,CLASSIC,53,46,25,29,25,25,32,64,32,67,8/19/2021 1:04:16 PM,thackerm2_vcu_ces,8/19/2021 1:04:16 PM,thackerm2_vcu_ces,8/19/2021 4:00:00 PM,09:00,26,48.75,-77.45519285,37.52681063
21,0c552152-09d2-4670-9d27-37d5e3e69bf2,340,,,CRS ,no,no,CLASSIC,41,38,36,33,34,32,80,102,46,11,8/19/2021 1:05:23 PM,crstunkle_vcu_ces,8/19/2021 1:05:23 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,09:02,33.75,59.75,-77.4543096,37.52679197
22,eb978217-c8cc-41a3-bafe-08c50867f5a6,460,,,MT,no,no,CLASSIC,129,64,1.5,1.5,1.5,1.5,6,5,2,7,8/19/2021 1:08:53 PM,thackerm2_vcu_ces,8/19/2021 1:08:53 PM,thackerm2_vcu_ces,8/19/2021 4:00:00 PM,09:05,1.5,5,-77.45522827,37.52693466
23,f7448aa1-3b14-4c82-a960-835e27ef6592,716,,,CRS ,no,no,FISSURE,204,97,36.5,28,9.5,20,45,3,15,2,8/19/2021 1:09:01 PM,crstunkle_vcu_ces,8/19/2021 1:09:01 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,09:06,23.5,16.25,-77.45426557,37.5268379
24,63d9388b-ab1a-4e22-85ee-b54e39a51d68,704,,,CRS ,yes,no,CLASSIC,0,0,0,0,0,0,0,0,0,0,8/19/2021 1:10:48 PM,crstunkle_vcu_ces,8/19/2021 1:10:48 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,09:10,0,0,-77.45442173,37.52678574
25,a6139172-c698-4bd6-a368-92053560e56b,705,,,CRS ,yes,no,CLASSIC,0,0,0,0,0,0,0,0,0,0,8/19/2021 1:11:36 PM,crstunkle_vcu_ces,8/19/2021 1:11:36 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,09:11,0,0,-77.45440651,37.52683437
26,5135df3a-5cb8-4f21-90ab-5787ca617aaf,635,,,MT,yes,no,CLASSIC,0,0,0,0,0,0,0,0,0,0,8/19/2021 1:14:41 PM,thackerm2_vcu_ces,8/19/2021 1:14:41 PM,thackerm2_vcu_ces,8/19/2021 4:00:00 PM,09:14,0,0,-77.45517874,37.52705833
27,7a2054f6-a181-42be-ace2-c758fbf240ab,461,,,MT,yes,no,CLASSIC,0,0,0,0,0,0,0,0,0,0,8/19/2021 1:15:07 PM,thackerm2_vcu_ces,8/19/2021 1:15:07 PM,thackerm2_vcu_ces,8/19/2021 4:00:00 PM,09:14,0,0,-77.45517716,37.527047
28,6f818800-619e-4915-b988-0059b10137a5,708,,,CRS ,no,no,FISSURE,281,119,22.5,10.5,26,13,103,9,6,41,8/19/2021 1:16:48 PM,crstunkle_vcu_ces,8/19/2021 1:16:48 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,09:13,18,39.75,-77.4543913,37.52696187
29,c8c867b7-7893-4d41-9c81-1daa805a5ed6,339,,,CRS ,no,no,FISSURE,332,88,21,21.5,23.5,18,95,2,5,11,8/19/2021 1:20:19 PM,crstunkle_vcu_ces,8/19/2021 1:20:19 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,09:17,21,28.25,-77.4543639,37.52699186
30,870b5bbd-ba8c-427e-afbe-4dfa8ea2ad9a,640,,,MT,yes,no,CLASSIC,0,0,0,0,0,0,0,0,0,0,8/19/2021 1:22:10 PM,thackerm2_vcu_ces,8/19/2021 1:22:10 PM,thackerm2_vcu_ces,8/19/2021 4:00:00 PM,09:21,0,0,-77.45514689,37.52664437
31,ea383529-d164-42a0-97cb-7eb943835c3f,637,,,MT,yes,no,CLASSIC,0,0,0,0,0,0,0,0,0,0,8/19/2021 1:22:33 PM,thackerm2_vcu_ces,8/19/2021 1:22:33 PM,thackerm2_vcu_ces,8/19/2021 4:00:00 PM,09:22,0,0,-77.45513239,37.52662269
32,69a5041a-4c96-45d9-a264-cb388b1bc416,709,,,CRS ,no,no,CLASSIC,56,29,18,17,17.25,20,2,4,1,1,8/19/2021 1:22:43 PM,crstunkle_vcu_ces,8/19/2021 1:22:43 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,09:20,18.0625,2,-77.45437585,37.52700937
33,51b232f8-1a33-40c1-9667-1eb65e98084b,641,,,MT,yes,no,CLASSIC,0,0,0,0,0,0,0,0,0,0,8/19/2021 1:22:51 PM,thackerm2_vcu_ces,8/19/2021 1:22:51 PM,thackerm2_vcu_ces,8/19/2021 4:00:00 PM,09:22,0,0,-77.45515687,37.52663381
34,766ebf82-b60d-477f-a204-3a0901771476,711,,,CRS ,no,yes,CLASSIC,118,65,11.75,10,10.5,9,40,2,2,0,8/19/2021 1:26:44 PM,crstunkle_vcu_ces,8/19/2021 1:26:44 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,09:24,10.3125,11,-77.4542708,37.52713331
35,d29dcb81-78f2-4d29-8b7a-a0dfeac4c10b,333,,,CRS ,no,no,CLASSIC,19.5,17,28.5,28,27.5,28.5,1,17,17.5,15,8/19/2021 1:31:20 PM,crstunkle_vcu_ces,8/19/2021 1:31:20 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,09:28,28.125,12.625,-77.454665,37.52687922
36,de3e850f-d077-4d89-9a11-beac4b8bccc6,320,,,MT,no,no,SHALLOW,161,109,47.5,59,49,50,18,1.5,47,49,8/19/2021 1:31:26 PM,thackerm2_vcu_ces,8/19/2021 1:31:26 PM,thackerm2_vcu_ces,8/19/2021 4:00:00 PM,09:23,51.375,28.875,-77.45508013,37.52663043
37,77eac4d4-2ae4-436b-a595-bcaa0c1970d0,642,,,MT,yes,no,CLASSIC,0,0,0,0,0,0,0,0,0,0,8/19/2021 1:32:25 PM,thackerm2_vcu_ces,8/19/2021 1:32:25 PM,thackerm2_vcu_ces,8/19/2021 4:00:00 PM,09:32,0,0,-77.45504706,37.52670898
38,0f132ad0-c539-4f4e-abd0-267780611ef7,534,,,Pl,no,yes,CLASSIC,90,95,32,5,42,35,50,60,50,0,8/19/2021 1:36:49 PM,lamountaif_vcu_ces,8/19/2021 1:36:49 PM,lamountaif_vcu_ces,8/19/2021 4:00:00 PM,09:24,28.5,40,-77.45604579,37.52548352
39,26e1def1-d7e5-4409-a853-47d63f338545,465,,,CRS ,no,no,CLASSIC,40,38,30,16,28,31,16,42,1,6,8/19/2021 1:37:34 PM,crstunkle_vcu_ces,8/19/2021 1:37:34 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,09:35,26.25,16.25,-77.45474246,37.5269822
40,44a5367b-2349-472e-8b0b-6e726c9b4184,638,,,MT,no,yes,CLASSIC,84,79,29.5,25,27,21,16,28,15,21,8/19/2021 1:44:55 PM,thackerm2_vcu_ces,8/19/2021 1:44:55 PM,thackerm2_vcu_ces,8/19/2021 4:00:00 PM,09:32,25.625,20,-77.45503446,37.52672674
41,1dc61049-ba93-4930-a20d-e3fc1a4ffa4d,377,,,CRS ,no,no,FISSURE,199,148,33.5,30.5,34,30,4,1,10,7,8/19/2021 1:45:16 PM,crstunkle_vcu_ces,8/19/2021 1:45:16 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,09:42,32,5.5,-77.45474515,37.52658678
42,ba6f0163-d8c3-48c8-a461-9e3816531794,636,,,MT,yes,no,SHALLOW,0,0,0,0,0,0,0,0,0,0,8/19/2021 1:47:13 PM,thackerm2_vcu_ces,8/19/2021 1:47:13 PM,thackerm2_vcu_ces,8/19/2021 4:00:00 PM,09:46,0,0,-77.45503375,37.52677211
43,49106442-40fa-49a6-a773-4166651ab8fc,683,,,MT,yes,no,CLASSIC,0,0,0,0,0,0,0,0,0,0,8/19/2021 1:48:48 PM,thackerm2_vcu_ces,8/19/2021 1:48:48 PM,thackerm2_vcu_ces,8/19/2021 4:00:00 PM,09:48,0,0,-77.45498284,37.52671549
