ObjectID,GlobalID,Pool ID,Date,Time,Observer,Is the pool dried up?,Is the pool underwater?,What type of pool is it?,Length,Width,Depth 1,Depth 2,Depth 3,Depth 4,Lip Height 1,Lip Height 2,Lip Height 3,Lip Height 4,CreationDate,Creator,EditDate,Editor,Date,Time,Average pool depth,Average lip height,x,y
81,a7b70189-3565-4287-9bbc-6e2ff1b70bc0,363,,,Bm,no,no,CLASSIC,28,18,12,12,11,12,10,9,4,8,9/20/2021 12:18:07 PM,marxbp_vcu_ces,9/20/2021 12:18:07 PM,marxbp_vcu_ces,9/20/2021 4:00:00 PM,08:16,11.75,7.75,-77.45479087,37.52618594
82,f340462e-9c22-418d-a5c0-a39e80a66643,702,,,Bm,yes,no,SHALLOW,0,0,0,0,0,0,0,0,0,0,9/20/2021 12:19:15 PM,marxbp_vcu_ces,9/20/2021 12:19:15 PM,marxbp_vcu_ces,9/20/2021 4:00:00 PM,08:18,0,0,-77.45475486,37.52595511
83,758412ac-1f42-49dd-a433-f171e87b60ec,662,,,Bm,no,no,SHALLOW,285,124,8,5,8,4,1,7,0,30,9/20/2021 12:23:11 PM,marxbp_vcu_ces,9/20/2021 12:23:11 PM,marxbp_vcu_ces,9/20/2021 4:00:00 PM,08:19,6.25,9.5,-77.45482835,37.52595669
84,3d790067-823b-4cb1-82d0-109ef62c2c66,663,,,Bm,no,no,CLASSIC,57,49,11,5,15,10,24,26,29,28,9/20/2021 12:25:59 PM,marxbp_vcu_ces,9/20/2021 12:25:59 PM,marxbp_vcu_ces,9/20/2021 4:00:00 PM,08:24,10.25,26.75,-77.45489894,37.52611931
85,d71cccb4-d021-4d2a-bb60-2fe4ac344d88,668,,,Bm,no,yes,RIVER,288,138,34,37,35,24,0,56,0,40,9/20/2021 12:30:30 PM,marxbp_vcu_ces,9/20/2021 12:30:30 PM,marxbp_vcu_ces,9/20/2021 4:00:00 PM,08:26,32.5,24,-77.45491867,37.52616247
86,af1e8f05-9cb8-43a6-a283-db596eb008a9,772,,,CRS ,no,no,CLASSIC,61,55,11,30.5,27,26.5,2,27,35,19,9/20/2021 12:31:19 PM,crstunkle_vcu_ces,9/20/2021 12:31:19 PM,crstunkle_vcu_ces,9/20/2021 4:00:00 PM,08:28,23.75,20.75,-77.45534239,37.5264121
87,0784a4f5-2db2-4534-85e9-523fe2c637c2,665,,,Bm,no,yes,CLASSIC,66,65,38,39,34,27,0,46,0,10,9/20/2021 12:32:38 PM,marxbp_vcu_ces,9/20/2021 12:32:38 PM,marxbp_vcu_ces,9/20/2021 4:00:00 PM,08:30,34.5,14,-77.45491653,37.5261768
88,888f832c-acae-4112-b29b-456157e48d27,366,,,Bm,yes,no,SHALLOW,0,0,0,0,0,0,0,0,0,0,9/20/2021 12:35:38 PM,marxbp_vcu_ces,9/20/2021 12:35:38 PM,marxbp_vcu_ces,9/20/2021 4:00:00 PM,08:35,0,0,-77.45488901,37.52620408
89,517eb531-1d4f-458b-89e2-0bed85c73508,591,,,CRS ,no,no,CLASSIC,87,84,10,18,12,11,27,84,76,48,9/20/2021 12:35:51 PM,crstunkle_vcu_ces,9/20/2021 12:35:51 PM,crstunkle_vcu_ces,9/20/2021 4:00:00 PM,08:33,12.75,58.75,-77.45549162,37.52638072
90,3c67922a-c7c9-46d2-9dd9-cbf4a17ca8a2,370,,,Bm,no,no,CLASSIC,84,66,22,15,9,8,4,2,3,89,9/20/2021 12:38:12 PM,marxbp_vcu_ces,9/20/2021 12:38:12 PM,marxbp_vcu_ces,9/20/2021 4:00:00 PM,08:36,13.5,24.5,-77.45489221,37.52623718
91,61de9860-747c-4f2c-92c3-928c08c49000,589,,,CRS ,no,no,CLASSIC,37,35,6,5,4,7,10,4,3,6,9/20/2021 12:38:32 PM,crstunkle_vcu_ces,9/20/2021 12:38:32 PM,crstunkle_vcu_ces,9/20/2021 4:00:00 PM,08:36,5.5,5.75,-77.45551134,37.52629985
92,7b15748a-1756-448f-80f8-8dc01cfa57b4,260,,,CRS ,no,no,CLASSIC,55,43,27.25,23.5,21,26,2,30,3,22,9/20/2021 12:40:50 PM,crstunkle_vcu_ces,9/20/2021 12:40:50 PM,crstunkle_vcu_ces,9/20/2021 4:00:00 PM,08:39,24.4375,14.25,-77.45546545,37.52626142
93,c6c3203f-0415-4b27-ae21-7332f15ada26,699,,,Bm,no,no,CLASSIC,71,56,7,11,14,9,3,22,12,10,9/20/2021 12:41:26 PM,marxbp_vcu_ces,9/20/2021 12:41:26 PM,marxbp_vcu_ces,9/20/2021 4:00:00 PM,08:39,10.25,11.75,-77.45475129,37.52631169
94,edb3d873-30cc-4e17-9d4f-209ac4366d40,594,,,CRS ,no,no,CLASSIC,41,20,19,21,16.75,33,3,8,9,10,9/20/2021 12:42:29 PM,crstunkle_vcu_ces,9/20/2021 12:42:29 PM,crstunkle_vcu_ces,9/20/2021 4:00:00 PM,08:41,22.4375,7.5,-77.45546951,37.52625403
95,3d3b08e9-b0b7-480c-8633-7b0b9a8f54e0,593,,,CRS ,no,no,CLASSIC,27,22,7,9.5,6,10,18,8,19,4,9/20/2021 12:44:58 PM,crstunkle_vcu_ces,9/20/2021 12:44:58 PM,crstunkle_vcu_ces,9/20/2021 4:00:00 PM,08:43,8.125,12.25,-77.45555745,37.52628155
96,caaba697-1433-4468-807c-32f867960c80,175,,,Bm,no,no,CLASSIC,61,57,30,10,29,27,10,3,12,12,9/20/2021 12:47:10 PM,marxbp_vcu_ces,9/20/2021 12:47:10 PM,marxbp_vcu_ces,9/20/2021 4:00:00 PM,08:45,24,9.25,-77.45505362,37.52605903
97,0291aab5-73b8-4df8-b836-799e0b87ab06,612,,,CRS ,no,no,CLASSIC,63,42,14.5,13,14,7,15,14,22,2,9/20/2021 12:48:13 PM,crstunkle_vcu_ces,9/20/2021 12:48:13 PM,crstunkle_vcu_ces,9/20/2021 4:00:00 PM,08:46,12.125,13.25,-77.45537938,37.52619301
98,e7f86e8f-a646-4dd4-81b0-baad63711f29,613,,,CRS ,no,no,SHALLOW,24,22,4,3,4,3,2,5,3,5,9/20/2021 12:49:57 PM,crstunkle_vcu_ces,9/20/2021 12:49:57 PM,crstunkle_vcu_ces,9/20/2021 4:00:00 PM,08:48,3.5,3.75,-77.45538937,37.52618057
99,4fae07d8-6b6e-4257-8bc3-c6d389c62b7b,765,,,Bm,no,no,CLASSIC,194,91,41,42,37,17,36,28,35,24,9/20/2021 12:50:24 PM,marxbp_vcu_ces,9/20/2021 12:50:24 PM,marxbp_vcu_ces,9/20/2021 4:00:00 PM,08:47,34.25,30.75,-77.45499622,37.52602124
100,1c51100c-6042-4b38-92f0-7ac82d69c574,661,,,Bm,no,no,CLASSIC,40,32,2,1,1,0,4,4,5,6,9/20/2021 12:52:31 PM,marxbp_vcu_ces,9/20/2021 12:52:31 PM,marxbp_vcu_ces,9/20/2021 4:00:00 PM,08:50,1,4.75,-77.45497262,37.52601136
101,da58b3ab-6b0f-48fb-83a2-7bc25f1f6483,610,,,CRS ,no,no,CLASSIC,17,13,5,5,4.75,5,21,7,9,6,9/20/2021 12:52:36 PM,crstunkle_vcu_ces,9/20/2021 12:52:36 PM,crstunkle_vcu_ces,9/20/2021 4:00:00 PM,08:50,4.9375,10.75,-77.45538747,37.52614626
102,942916e2-feae-4534-b14e-7b51a6142215,656,,,Bm,no,no,CLASSIC,21,21,5,3,4,4,15,9,4,10,9/20/2021 12:55:00 PM,marxbp_vcu_ces,9/20/2021 12:55:00 PM,marxbp_vcu_ces,9/20/2021 4:00:00 PM,08:53,4,9.5,-77.45501854,37.52594229
103,f54a2132-f3e7-4c19-84f5-38ce5d57df0c,597,,,CRS ,no,no,CLASSIC,30,22,4,4,3,4,22,7,5,15,9/20/2021 12:55:47 PM,crstunkle_vcu_ces,9/20/2021 12:55:47 PM,crstunkle_vcu_ces,9/20/2021 4:00:00 PM,08:53,3.75,12.25,-77.45557148,37.52611045
104,40aaca67-db2a-4f22-af3c-1b4281082fda,658,,,Bm,no,no,CLASSIC,51,37,9,7,7,10,28,1,4,2,9/20/2021 12:56:47 PM,marxbp_vcu_ces,9/20/2021 12:56:47 PM,marxbp_vcu_ces,9/20/2021 4:00:00 PM,08:55,8.25,8.75,-77.45502781,37.52590753
105,dc825cff-6f08-4845-99a1-4c8eade98ba8,172,,,Bm,yes,no,CLASSIC,0,0,0,0,0,0,0,0,0,0,9/20/2021 12:58:34 PM,marxbp_vcu_ces,9/20/2021 12:58:34 PM,marxbp_vcu_ces,9/20/2021 4:00:00 PM,08:58,0,0,-77.45506474,37.52584743
106,7816fb4a-a909-4da0-a759-afdced8fce24,654,,,Bm,no,no,CLASSIC,35,30,13,11,11,14,2,3,4,3,9/20/2021 1:00:44 PM,marxbp_vcu_ces,9/20/2021 1:00:44 PM,marxbp_vcu_ces,9/20/2021 4:00:00 PM,08:59,12.25,3,-77.45508081,37.52594776
107,65363696-afd0-4f5e-b64a-ec7fd98060ff,781,,,Bm,no,no,CLASSIC,55,38,2,2,3,6,2,15,10,16,9/20/2021 1:05:23 PM,marxbp_vcu_ces,9/20/2021 1:05:23 PM,marxbp_vcu_ces,9/20/2021 4:00:00 PM,09:03,3.25,10.75,-77.45514813,37.52588177
108,0c878e64-7e88-4fca-9aa6-7caeab850546,660,,,Bm,no,yes,RIVER,67,66,18,16,19,25,0,0,1,3,9/20/2021 1:08:25 PM,marxbp_vcu_ces,9/20/2021 1:08:25 PM,marxbp_vcu_ces,9/20/2021 4:00:00 PM,09:06,19.5,1,-77.45519656,37.52593939
109,a199a783-b09c-43f2-8503-90281206ab4f,605,,,Bm,no,yes,CLASSIC,90,66,4,3,2,2,0,0,4,3,9/20/2021 1:10:58 PM,marxbp_vcu_ces,9/20/2021 1:10:58 PM,marxbp_vcu_ces,9/20/2021 4:00:00 PM,09:08,2.75,1.75,-77.4552218,37.52593162
110,911368b9-36e0-43d6-9300-d5723c3b5678,158,,,Bm,no,no,CLASSIC,110,98,9,3,3,3,2,7,14,5,9/20/2021 1:13:49 PM,marxbp_vcu_ces,9/20/2021 1:13:49 PM,marxbp_vcu_ces,9/20/2021 4:00:00 PM,09:11,4.5,7,-77.45522641,37.52587806
111,eda030c3-cdb2-42da-9e22-2c1c5f79ab8d,776,,,CRS ,no,no,CLASSIC,101,97,38,36,41,39,2,21,17,0,9/20/2021 1:15:38 PM,crstunkle_vcu_ces,9/20/2021 1:15:38 PM,crstunkle_vcu_ces,9/20/2021 4:00:00 PM,09:12,38.5,10,-77.45574911,37.52627875
112,e081ead5-fba3-42a4-8f03-054b8776a518,602,,,Bm,no,no,CLASSIC,39,32,6,5,5,7,4,4,6,8,9/20/2021 1:16:20 PM,marxbp_vcu_ces,9/20/2021 1:16:20 PM,marxbp_vcu_ces,9/20/2021 4:00:00 PM,09:14,5.75,5.5,-77.45526981,37.52587079
113,d0f23fcc-e991-4ec5-958f-3048bfff0ccd,608,,,Bm,no,no,CLASSIC,23,22,21,23,19,19,81,80,5,6,9/20/2021 1:20:33 PM,marxbp_vcu_ces,9/20/2021 1:20:33 PM,marxbp_vcu_ces,9/20/2021 4:00:00 PM,09:18,20.5,43,-77.45528716,37.52593068
114,dc886158-7540-4eb6-9623-2d217a534f55,777,,,CRS ,no,no,CLASSIC,70,61,18,11,15.5,20.75,0,11,5,27,9/20/2021 1:22:24 PM,crstunkle_vcu_ces,9/20/2021 1:22:24 PM,crstunkle_vcu_ces,9/20/2021 4:00:00 PM,09:20,16.3125,10.75,-77.45574546,37.5262723
115,2e9dc2ec-1ea3-450d-a283-f1abf552b57a,115,,,CRS ,yes,no,CLASSIC,0,0,0,0,0,0,0,0,0,0,9/20/2021 1:23:44 PM,crstunkle_vcu_ces,9/20/2021 1:23:44 PM,crstunkle_vcu_ces,9/20/2021 4:00:00 PM,09:23,0,0,-77.45577217,37.52631899
116,ebb22aa8-f19a-4401-bfae-21832e3ebd58,606,,,Bm,no,yes,CLASSIC,195,140,30,19,20,23,0,22,2,20,9/20/2021 1:25:24 PM,marxbp_vcu_ces,9/20/2021 1:25:24 PM,marxbp_vcu_ces,9/20/2021 4:00:00 PM,09:21,23,11,-77.45524961,37.52596781
117,3393e745-84f3-4cef-b94e-f901f5080f89,116,,,CRS ,no,no,CLASSIC,38,28.5,16,18,17,16,3,16,3,10,9/20/2021 1:26:51 PM,crstunkle_vcu_ces,9/20/2021 1:26:51 PM,crstunkle_vcu_ces,9/20/2021 4:00:00 PM,09:24,16.75,8,-77.45574314,37.52631815
118,8e921020-e626-45e2-afac-e294adf4a010,188,,,Bm,no,no,CLASSIC,54,51,10,6,7,4,3,14,23,24,9/20/2021 1:28:16 PM,marxbp_vcu_ces,9/20/2021 1:28:16 PM,marxbp_vcu_ces,9/20/2021 4:00:00 PM,09:26,6.75,16,-77.4551933,37.52599721
119,f86b638f-da3d-466c-9727-571e61658945,190,,,Bm,no,no,CLASSIC,62,59,18,23,23,20,2,83,92,40,9/20/2021 1:31:23 PM,marxbp_vcu_ces,9/20/2021 1:31:23 PM,marxbp_vcu_ces,9/20/2021 4:00:00 PM,09:29,21,54.25,-77.45517656,37.52603904
