"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"4","Mod4",9,2215.11722632034,0,1,0.733180850387203,-1098.29545526543,0.733180850387203
"7","Mod7",10,2217.14167179085,2.02444547050573,0.363410316261029,0.266445484715744,-1098.24825525026,0.999626335102946
"2","Mod2",7,2231.28409651325,16.166870192907,0.00030860911049459,0.000226266290069662,-1108.47925755895,0.999852601393016
"6","Mod6",8,2233.3651896472,18.2479633268567,0.000109019732127262,7.99311799100512e-05,-1108.47268228715,0.999932532572926
"1","Mod1",7,2234.46183414078,19.3446078204397,6.30045312081753e-05,4.61937157694571e-05,-1110.06812637272,0.999978726288696
"5","Mod5",8,2236.23562578536,21.1183994650196,2.59536129025958e-05,1.90286919785454e-05,-1109.90790035624,0.999997754980674
"3","Mod3",7,2240.51009341478,25.3928670944447,3.06202668087296e-06,2.24501932579074e-06,-1113.09225600972,1
