Pool_ID,lat,long,DistRC_m,Depth_cm,SurfArea_cm2,Volume_cm3,Pct_Shaded,Notes
72,37.52626653,-77.4563651,19.23635501,31.875,1075.210086,34272.32148,0,-
73,37.52617713,-77.45619043,2.686676847,24.52142857,7625.991758,185009.9463,6,-
74,37.52631161,-77.45620655,13.2072971,49.9333787,4600.66678,219855.7724,18,-
75,37.52633245,-77.45621727,16.23945478,47.94955849,3685.560128,177283.4411,27,-
76,37.52632871,-77.45623354,16.95518167,17.828125,1170.439644,23570.44928,38,-
77,37.52635334,-77.45616278,14.99585193,32.53571429,5107.640698,170583.4024,0,-
78,37.52633582,-77.45614881,12.09471574,33.75892857,4747.844162,160224.8321,0,-
79,37.52636411,-77.45614973,15.76381825,64.19999848,2618.362959,337699.5267,0,-
80,37.52642296,-77.45615742,23.75970224,14,13893.69,194511.7,6,-
81,37.52639816,-77.45612193,19.06744586,29.11363636,6008.724468,179887.3583,0,-
82,37.52638273,-77.45612127,17.02729244,32.73859315,3313.700974,107622.5994,12,-
83,37.5263805,-77.45611551,16.50031082,53.05995263,2353.30228,221360.4165,0,-
84,37.52636922,-77.45610247,14.49290291,36.23125,4988.757461,205586.0433,0,-
85,37.5263315,-77.45605059,7.442961182,20.125,5084.66771,102328.9377,1,-
86,37.52633844,-77.45600797,6.601179442,43.41203592,3125.450942,126150.7045,0,-
87,37.52635542,-77.45600477,8.68554756,38.23875,4717.494015,191482.0259,0,-
88,37.52637766,-77.45599856,11.33334707,55,10126.66167,586999.2597,0,-
89,37.52639464,-77.4559552,11.7711339,44.98214286,21845.51249,990379.438,0,-
90,37.52638104,-77.4559452,9.586365151,-,-,-,0,Filled in?
91,37.52639089,-77.45586096,7.417821624,47.30807332,2387.923439,131108.7107,0,-
92,37.52637726,-77.45586468,5.791507693,17.54166667,4554.262333,79795.41333,0,-
93,37.52636611,-77.4558607,4.173316195,8.104166667,2098.845667,15444.07,0,-
94,37.52635863,-77.45586433,3.345614771,12,6209.35788,74512.2946,19,-
95,37.52637395,-77.45584877,4.707635527,42.52142857,10090.12158,430854.9064,0,-
96,37.52642333,-77.45606241,19.9116809,30.5625,5489.93332,164386.3429,0,-
97,37.5264447,-77.45607314,23.14036301,22.78125,2452.013061,58204.11663,0,-
98,37.52645455,-77.45608373,24.86035742,20.75,2695.486,53909.73,0,-
99,37.5264526,-77.45613583,26.74142943,-,-,-,5,Filled in?
100,37.52651005,-77.45610206,32.85322313,-,-,-,1,Channel feature
101,37.52653204,-77.45607928,34.78966705,90.8133305,5107.611389,463839.2012,5,-
102,37.52651304,-77.45604296,30.8201121,-,-,-,0,Channel feature
103,37.52646891,-77.45605444,25.53272946,19.53125,1856.68125,36186.33866,0,-
104,37.52648671,-77.45602474,26.63709838,10.90171252,1037.846496,16064.31996,7,-
105,37.52650414,-77.45596328,26.39216927,33.33790708,3730.482989,123990.7026,0,-
106,37.52653854,-77.45594309,30.05270087,5.1,-,-,0,-
107,37.52654906,-77.45594674,31.5755281,5.625,2902.832,14514.16,0,-
108,37.52656203,-77.45594956,33.3837537,30.25,25319.14098,750570.718,0,-
109,37.52653193,-77.45590113,27.46944252,19,1013.164,19250.11,0,-
110,37.52656387,-77.45590876,31.95030118,25.375,12944.93253,328477.6629,0,-
111,37.52657308,-77.45590719,33.08797058,21.375,4625.995,97145.9,0,-
112,37.52659146,-77.45588033,34.38542183,6.4,-,-,0,-
113,37.52659883,-77.45588803,35.66282662,22.66666667,3321.448745,75121.76207,0,-
114,37.52631254,-77.45578242,6.027977387,13.825,1631.271985,22552.3352,32,-
115,37.52631899,-77.45577217,5.605912945,-,-,-,84,Dried
116,37.52631815,-77.45574314,6.905482088,12.88324034,724.5916951,9335.088956,26,-
117,37.526293,-77.45572032,11.12407228,26.25,14631.97,380431.2,0,-
118,37.52628721,-77.45573459,11.29380924,8.666666667,1157.67703,11632.92674,0,-
119,37.52627874,-77.45574849,11.82895498,38.4375,7625.980547,293123.6273,0,-
120,37.52626683,-77.45573787,13.81929035,10.25,876.5044,8765.044,0,-
121,37.52621102,-77.45575926,20.22528836,39.88636364,5460.516446,216385.9024,0,-
122,37.52620962,-77.45577503,19.76045273,45.09375,4732.61296,210573.3006,0,-
123,37.526189,-77.45576516,22.85667808,32.35357143,4742.851215,157812.1367,0,-
124,37.52618312,-77.45575289,24.12616252,30.44886364,1576.294111,48680.83524,0,-
125,37.5261937,-77.45579486,21.02577829,89.60676891,4137.051564,330405.2897,0,-
126,37.52617939,-77.45580419,22.5093481,41.51726191,3903.036255,161562.9851,0,-
127,37.52619883,-77.45586908,17.31177963,62.375,7499.37443,467753.7481,0,-
128,37.52619572,-77.45587467,17.48827949,197.6166609,3616.372119,1199989.194,0,-
129,37.5262,-77.45589471,16.10861635,32.75,4037.732,129207.4,0,-
130,37.52620518,-77.45593877,13.62598491,48.74675811,2519.68089,131308.1759,0,-
131,37.52619136,-77.45594101,15.33762417,10.625,673.8716,6738.716,0,-
132,37.52618872,-77.45594277,15.60998606,-,-,-,0,-
133,37.52617537,-77.45594204,17.38176664,28.02083334,4560.807343,127102.8255,0,-
134,37.52612564,-77.45596283,23.01929657,20.67142857,8489.0606,185625.2277,0,-
135,37.52613326,-77.45597043,21.71239805,28.01166667,4618.114993,129541.1426,0,-
136,37.52617632,-77.45599794,14.9650843,19.16666667,371.4933393,6953.130083,0,-
137,37.52615996,-77.45602583,15.95679312,51.75972154,1204.247763,67921.29388,0,-
138,37.52614429,-77.456016,18.37694514,44.79166667,3522.510798,167878.0658,0,-
139,37.52609957,-77.45598969,25.11379597,28.79166667,5651.463598,160222.054,0,-
140,37.52610775,-77.45603394,21.14928464,31.0625,32679.63,997553.65,0,-
141,37.52608719,-77.45604906,22.36184041,56.8125,7248.047039,406481.2524,0,-
142,37.52612904,-77.45607716,15.81607683,64.51157264,2663.041699,175204.3008,0,-
143,37.52595899,-77.45600506,39.49535411,31.51336781,1707.290281,59969.76622,3,-
144,37.5261574,-77.45571863,28.88756808,73.625,3834.510195,281942.7137,0,-
145,37.52614218,-77.45572504,30.61087619,31.4375,6077.411,188399.7,0,-
